24-07-19 01:30:12.937 : Writing to ./results/denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:12.938 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:23.269 : iteration: 199, psnr: 6.009056613952302, psnr_best: 6.009056613952302
24-07-19 01:30:23.296 : iteration: 200, psnr: 6.003051632721959, psnr_best: 6.009056613952302
24-07-19 01:30:23.324 : iteration: 201, psnr: 6.0066168674585745, psnr_best: 6.009056613952302
24-07-19 01:30:23.351 : iteration: 202, psnr: 6.010039486130683, psnr_best: 6.010039486130683
24-07-19 01:30:23.378 : iteration: 203, psnr: 6.01468312266039, psnr_best: 6.01468312266039
24-07-19 01:30:23.405 : iteration: 204, psnr: 6.009936027853416, psnr_best: 6.01468312266039
24-07-19 01:30:23.430 : iteration: 205, psnr: 6.013813853227535, psnr_best: 6.01468312266039
24-07-19 01:30:23.456 : iteration: 206, psnr: 6.009399466892521, psnr_best: 6.01468312266039
24-07-19 01:30:23.480 : iteration: 207, psnr: 6.013768234027956, psnr_best: 6.01468312266039
24-07-19 01:30:23.504 : iteration: 208, psnr: 6.010991068827269, psnr_best: 6.01468312266039
24-07-19 01:30:23.529 : iteration: 209, psnr: 6.019842227942037, psnr_best: 6.019842227942037
24-07-19 01:30:23.556 : iteration: 210, psnr: 6.017688388355985, psnr_best: 6.019842227942037
24-07-19 01:30:23.581 : iteration: 211, psnr: 6.018443428689927, psnr_best: 6.019842227942037
24-07-19 01:30:23.611 : iteration: 212, psnr: 6.0258090941016995, psnr_best: 6.0258090941016995
24-07-19 01:30:23.642 : iteration: 213, psnr: 6.0184316630699435, psnr_best: 6.0258090941016995
24-07-19 01:30:23.667 : iteration: 214, psnr: 6.025406963223389, psnr_best: 6.0258090941016995
24-07-19 01:30:23.696 : iteration: 215, psnr: 6.021727979327552, psnr_best: 6.0258090941016995
24-07-19 01:30:23.721 : iteration: 216, psnr: 6.0252014606409245, psnr_best: 6.0258090941016995
24-07-19 01:30:23.744 : iteration: 217, psnr: 6.025759138381934, psnr_best: 6.0258090941016995
24-07-19 01:30:23.769 : iteration: 218, psnr: 6.026148394593736, psnr_best: 6.026148394593736
24-07-19 01:30:23.794 : iteration: 219, psnr: 6.0227350014057155, psnr_best: 6.026148394593736
24-07-19 01:30:23.820 : iteration: 220, psnr: 6.027681172461676, psnr_best: 6.027681172461676
24-07-19 01:30:23.849 : iteration: 221, psnr: 6.028031933304676, psnr_best: 6.028031933304676
24-07-19 01:30:23.875 : iteration: 222, psnr: 6.032480737087164, psnr_best: 6.032480737087164
24-07-19 01:30:23.899 : iteration: 223, psnr: 6.025628555122718, psnr_best: 6.032480737087164
24-07-19 01:30:23.922 : iteration: 224, psnr: 6.023823110432767, psnr_best: 6.032480737087164
24-07-19 01:30:23.947 : iteration: 225, psnr: 6.033958194892688, psnr_best: 6.033958194892688
24-07-19 01:30:23.972 : iteration: 226, psnr: 6.038931416788158, psnr_best: 6.038931416788158
24-07-19 01:30:23.993 : iteration: 227, psnr: 6.033541461684798, psnr_best: 6.038931416788158
24-07-19 01:30:24.015 : iteration: 228, psnr: 6.03276210220762, psnr_best: 6.038931416788158
24-07-19 01:30:24.038 : iteration: 229, psnr: 6.039639649901789, psnr_best: 6.039639649901789
24-07-19 01:30:24.060 : iteration: 230, psnr: 6.038940404847089, psnr_best: 6.039639649901789
24-07-19 01:30:24.081 : iteration: 231, psnr: 6.036629704671399, psnr_best: 6.039639649901789
24-07-19 01:30:24.104 : iteration: 232, psnr: 6.039191179008944, psnr_best: 6.039639649901789
24-07-19 01:30:24.125 : iteration: 233, psnr: 6.039461944031893, psnr_best: 6.039639649901789
24-07-19 01:30:24.146 : iteration: 234, psnr: 6.036255212335818, psnr_best: 6.039639649901789
24-07-19 01:30:24.170 : iteration: 235, psnr: 6.051635067015878, psnr_best: 6.051635067015878
24-07-19 01:30:24.193 : iteration: 236, psnr: 6.043252983563985, psnr_best: 6.051635067015878
24-07-19 01:30:24.216 : iteration: 237, psnr: 6.043077330017042, psnr_best: 6.051635067015878
24-07-19 01:30:24.243 : iteration: 238, psnr: 6.04900407504644, psnr_best: 6.051635067015878
24-07-19 01:30:24.267 : iteration: 239, psnr: 6.044945390708728, psnr_best: 6.051635067015878
24-07-19 01:30:24.290 : iteration: 240, psnr: 6.045883064462768, psnr_best: 6.051635067015878
24-07-19 01:30:24.313 : iteration: 241, psnr: 6.046544782980899, psnr_best: 6.051635067015878
24-07-19 01:30:24.334 : iteration: 242, psnr: 6.049156576467272, psnr_best: 6.051635067015878
24-07-19 01:30:24.358 : iteration: 243, psnr: 6.051646505861704, psnr_best: 6.051646505861704
24-07-19 01:30:24.380 : iteration: 244, psnr: 6.051824936915972, psnr_best: 6.051824936915972
24-07-19 01:30:24.404 : iteration: 245, psnr: 6.0558068251801425, psnr_best: 6.0558068251801425
24-07-19 01:30:24.426 : iteration: 246, psnr: 6.057046709884634, psnr_best: 6.057046709884634
24-07-19 01:30:24.448 : iteration: 247, psnr: 6.056392391766757, psnr_best: 6.057046709884634
24-07-19 01:30:24.472 : iteration: 248, psnr: 6.059790866449532, psnr_best: 6.059790866449532
24-07-19 01:30:24.493 : iteration: 249, psnr: 6.055381528141294, psnr_best: 6.059790866449532
24-07-19 01:30:24.515 : iteration: 250, psnr: 6.055422912881298, psnr_best: 6.059790866449532
24-07-19 01:30:24.537 : iteration: 251, psnr: 6.059305592031345, psnr_best: 6.059790866449532
24-07-19 01:30:24.561 : iteration: 252, psnr: 6.065497213407671, psnr_best: 6.065497213407671
24-07-19 01:30:24.584 : iteration: 253, psnr: 6.063669387604277, psnr_best: 6.065497213407671
24-07-19 01:30:24.609 : iteration: 254, psnr: 6.064094217369066, psnr_best: 6.065497213407671
24-07-19 01:30:24.634 : iteration: 255, psnr: 6.068204408069658, psnr_best: 6.068204408069658
24-07-19 01:30:24.660 : iteration: 256, psnr: 6.068342496633288, psnr_best: 6.068342496633288
24-07-19 01:30:24.685 : iteration: 257, psnr: 6.069102677099716, psnr_best: 6.069102677099716
24-07-19 01:30:24.710 : iteration: 258, psnr: 6.071471418361675, psnr_best: 6.071471418361675
24-07-19 01:30:24.735 : iteration: 259, psnr: 6.074082742744213, psnr_best: 6.074082742744213
24-07-19 01:30:24.758 : iteration: 260, psnr: 6.072475235016768, psnr_best: 6.074082742744213
24-07-19 01:30:24.782 : iteration: 261, psnr: 6.076493553039701, psnr_best: 6.076493553039701
24-07-19 01:30:24.804 : iteration: 262, psnr: 6.073401209556341, psnr_best: 6.076493553039701
24-07-19 01:30:24.827 : iteration: 263, psnr: 6.078725860001434, psnr_best: 6.078725860001434
24-07-19 01:30:24.850 : iteration: 264, psnr: 6.081568483784562, psnr_best: 6.081568483784562
